2017-05-29 08:43:20,702 INFO  [org.jboss.modules:970] (main) JBoss Modules version 1.5.2.Final
2017-05-29 08:43:21,484 INFO  [org.jboss.msc:93] (main) JBoss MSC version 1.2.6.Final
2017-05-29 08:43:21,582 INFO  [org.jboss.as:101] (MSC service thread 1-1) WFLYSRV0049: WildFly Full 10.1.0.Final (WildFly Core 2.2.0.Final) starting
2017-05-29 08:43:24,220 INFO  [org.jboss.as.server:136] (Controller Boot Thread) WFLYSRV0039: Creating http management service using socket-binding (management-http)
2017-05-29 08:43:24,284 INFO  [org.xnio:99] (MSC service thread 1-4) XNIO version 3.4.0.Final
2017-05-29 08:43:24,317 INFO  [org.xnio.nio:55] (MSC service thread 1-4) XNIO NIO Implementation Version 3.4.0.Final
2017-05-29 08:43:24,426 INFO  [org.jboss.as.clustering.infinispan:48] (ServerService Thread Pool -- 41) WFLYCLINF0001: Activating Infinispan subsystem.
2017-05-29 08:43:24,439 INFO  [org.wildfly.extension.io:180] (ServerService Thread Pool -- 40) WFLYIO001: Worker 'default' has auto-configured to 4 core threads with 32 task threads based on your 2 available processors
2017-05-29 08:43:24,450 INFO  [org.jboss.as.naming:64] (ServerService Thread Pool -- 50) WFLYNAM0001: Activating Naming Subsystem
2017-05-29 08:43:24,454 WARN  [org.jboss.as.txn:461] (ServerService Thread Pool -- 56) WFLYTX0013: Node identifier property is set to the default value. Please make sure it is unique.
2017-05-29 08:43:24,443 INFO  [org.jboss.as.jsf:71] (ServerService Thread Pool -- 47) WFLYJSF0007: Activated the following JSF Implementations: [main]
2017-05-29 08:43:24,458 INFO  [org.jboss.as.webservices:75] (ServerService Thread Pool -- 58) WFLYWS0002: Activating WebServices Extension
2017-05-29 08:43:24,454 INFO  [org.jboss.as.security:145] (ServerService Thread Pool -- 55) WFLYSEC0002: Activating Security Subsystem
2017-05-29 08:43:24,500 INFO  [org.wildfly.iiop.openjdk:121] (ServerService Thread Pool -- 60) WFLYIIOP0001: Activating IIOP Subsystem
2017-05-29 08:43:24,513 INFO  [org.jboss.remoting:73] (MSC service thread 1-1) JBoss Remoting version 4.0.21.Final
2017-05-29 08:43:24,625 INFO  [org.jboss.as.connector.subsystems.datasources:144] (ServerService Thread Pool -- 35) WFLYJCA0005: Deploying non-JDBC-compliant driver class org.postgresql.Driver (version 9.4)
